Algorithm,Size,DataType,Time(ms),Comparisons,Swaps,ArrayAccesses
InsertionSort,100,random,1,796,518,2252,5220
SelectionSort,100,random,0,799,2249,25,4598
InsertionSort,500,random,3,390,3761,59748,124255
SelectionSort,500,random,1,588,29920,63,60092
InsertionSort,1000,random,3,948,8538,246214,502964
SelectionSort,1000,random,4,721,112740,119,225956
InsertionSort,2000,random,2,599,19035,1020032,2063097
SelectionSort,2000,random,4,814,1968865,1753,3944742
InsertionSort,5000,random,22,511,54282,6295665,12655610
SelectionSort,5000,random,16,094,11224690,3403,22462992
InsertionSort,10000,random,68,828,118517,25258282,50655079
SelectionSort,10000,random,101,947,49405845,8913,98847342
InsertionSort,100,random,0,016,533,2492,5715
SelectionSort,100,random,0,002,764,7,1556
InsertionSort,500,random,0,206,3779,62330,129437
SelectionSort,500,random,0,039,25069,52,50346
InsertionSort,1000,random,0,575,8549,254729,520005
SelectionSort,1000,random,0,197,135269,145,271118
InsertionSort,2000,random,2,357,19065,996875,2016813
SelectionSort,2000,random,2,660,1832247,1421,3670178
InsertionSort,5000,random,12,814,54298,6283819,12631934
SelectionSort,5000,random,9,177,6558319,1552,13122846
InsertionSort,10000,random,53,465,118423,24777218,49692857
SelectionSort,10000,random,62,535,43709715,6453,87445242
InsertionSort,100,random,0,011,519,2482,5681
SelectionSort,100,random,0,009,3624,47,7436
InsertionSort,500,random,0,163,3776,66801,138376
SelectionSort,500,random,0,165,103014,290,207188
InsertionSort,1000,random,0,559,8526,253059,516642
SelectionSort,1000,random,0,493,335049,425,671798
InsertionSort,2000,random,2,114,19111,1009225,2041559
SelectionSort,2000,random,0,831,590319,320,1181918
InsertionSort,5000,random,13,374,54241,6352163,12768565
SelectionSort,5000,random,10,067,6884575,1648,13775742
InsertionSort,10000,random,52,342,118494,24893741,49925974
SelectionSort,10000,random,46,075,30957465,3828,61930242
